id,code,name,group_id:id,reconcile,account_type,chart_template_id:id,tag_ids:id
niif_fin_2735,2735,Bonificaciones,,0,off_balance,chart_template_niif_financiero,
niif_fin_273505,273505,Bonificaciones,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_273595,273595,Otras Bonificaciones,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2740,2740,Fondos De Pensiones,,0,off_balance,chart_template_niif_financiero,
niif_fin_274005,274005,Fondos De Pensiones,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_274095,274095,Otros Fondos De Pensiones,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2745,2745,Provisiones  Corrientes Por Beneficios A Los Empleados,,0,off_balance,chart_template_niif_financiero,
niif_fin_274505,274505,Provisiones  Corrientes Por Beneficios A Los Empleados,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_274595,274595,Otras Provisiones  Corrientes Por Beneficios A Los Empleados,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2750,2750,Provisiones No Corrientes Por Beneficios A Los Empleados,,0,off_balance,chart_template_niif_financiero,
niif_fin_275005,275005,Provisiones No Corrientes Por Beneficios A Los Empleados,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_275095,275095,Otras Provisiones No Corrientes Por Beneficios A Los Empleados,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2752,2752,Provisiones No Corrientes Por Beneficios Post-Empleo A Los Empleados,,0,off_balance,chart_template_niif_financiero,
niif_fin_275205,275205,Aportaciones Definidas,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_275210,275210,Beneficios Definidos,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_275295,275295,Otras Provisiones No Corrientes Por Beneficios Post-Empleo A Los Empleados,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2755,2755,Bonos Pensionales,,0,off_balance,chart_template_niif_financiero,
niif_fin_275505,275505,Bonos Pensionales,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_275595,275595,Otros Bonos Pensionales,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2760,2760,Indemnizaciones Laborales ,,0,off_balance,chart_template_niif_financiero,
niif_fin_276005,276005,Indemnizaciones Laborales ,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_276095,276095,Otras Indemnizaciones Laborales ,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2765,2765,Pensión De Jubilación,,0,off_balance,chart_template_niif_financiero,
niif_fin_276505,276505,Cálculo Actuarial Pensiones De Jubilación (Cr),group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_276510,276510,Pensión De Jubilación Por Amortizar (Db),group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_276595,276595,Otra Pensión De Jubilación,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2795,2795,Otros Beneficios,,0,off_balance,chart_template_niif_financiero,
niif_fin_279505,279505,Otros Beneficios,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_279595,279595,Otros Otros Beneficios,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_28,28,Provisiones,,0,off_balance,chart_template_niif_financiero,
niif_fin_2805,2805,Contribuciones Y Afiliaciones,,0,off_balance,chart_template_niif_financiero,
niif_fin_280505,280505,Superintendencia Financiera De Colombia,group_fin_2_6_nof_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
