id,city_id:l10n_co_edi_code,code,type,name
zip_co_05_7067,5138,57067,rural,057067 - Alto de la Aldea- Caracolal-  Cestillal-  Chupadero-  Cumbarrá-  El Socorro-  La Aguada-  La Curva-  La Loma-  San Luis del Café-  San Miguel-  San Pascual-  Santo Cristo-  Uvital
zip_co_05_7068,5138,57068,rural,057068 - Alto del Roble- Bella Vista-  Botija Bajo-  Buenos Aires Parte Baja-  Cabaría-  Cabecera Municipal-  Chontaduro-  El Cable-  El Canelo-  El Guadual-  El León-  El Paso-  Guayabal-  La Aldea-  La Balsilla-  La Cabaña-  La Campiña-  La Cusutí-  La Esperanza
zip_co_05_3450,5142,53450,urban,053450 - Sin Informacion de Veredas
zip_co_05_3457,5142,53457,rural,053457 - Altos de Dolores- Botijas-  Canalones-  Canteras-  Canutillo-  Caño Seco-  Caracoli-  Cascaron-  Cristalina-  Efe Gomez-  El Bagre-  El Buey-  El Pital-  Guadalito-  La Chinca-  La Cienaga-  La Clara-  La Cortada-  La Ilusion-  La Maria-  La Mesa-  La Min
zip_co_05_6040,5145,56040,urban,056040 - Sin Informacion de Veredas
zip_co_05_6047,5145,56047,rural,056047 - Agrovillas- Aguadita Chiquita-  Aguadita Grande-  Barro Blanco-  Buenos Aires-  Cabecera Municipal-  Cañas-  Chirapoto-  Conde-  El Balso-  El Guayabo-  El Libano-  El Roble-  Guayabal-  Hojas Anchas-  Hojas Anchas-  La Cascada-  La Esmeralda-  La Frisole
zip_co_05_7850,5147,57850,urban,057850 - Sin Informacion de Veredas
zip_co_05_7857,5147,57857,rural,057857 - Belencito- Campamento-  Caracoli-  El Cerro-  El Coco-  Piedras Blancas-  Polines-  Polines San Cebastian-  Remedia Pobre
zip_co_05_7858,5147,57858,rural,057858 - Bocas de Chigorodo- Cabecera Municipal-  Carepita Canal-  Carepita km 4-  Carepita Pronexcol-  Chirido-  Chirido-  El Encanto-  El Vijao-  Ipankay-  La Cadena-  La Cadena-  La Candelaria-  La Unión-  Las Quinientas-  Las Trecientas-  Nueva Esperanza-  Zun
zip_co_05_4030,5148,54030,urban,054030 - Buenos Aires- Campo Alegre- Centro- Don Berna- El Edén- El Progreso- Fundadores- La Alhambra- La Bomba- La María- Ospina- San José- Tahamies- Villa de La Mod- Villa María
zip_co_05_4037,5148,54037,rural,054037 - Boquerón- Buenavista-  El Cerro-  La Chapa-  La Florida-  La Madera-  La Madera-  Las Acacias-  Las Cacias-  Sonadora-  Vallejuelito
zip_co_05_4038,5148,54038,rural,054038 - Agua Bonita- Agua Bonita-  Caracolí-  Corales-  Dos Quebradas-  El Brazil-  El Ciprés-  El Ciprés-  El Cocuyo-  El Cocuyo-  El Estio-  El Estio-  El Higuerón-  El Popal-  El Porvenir-  El Recreo-  El Retiro-  El Retiro-  El Roblal-  El Roblal-  La Aguada-
zip_co_05_1840,5150,51840,urban,051840 - Sin Informacion de Veredas
zip_co_05_1847,5150,51847,rural,051847 - Cañaveral- Cascajeros-  Claritas-  Claritas-  Concepción-  Concepcion y La Herradura CM-  El Guayabo-  El Mango-  El Oso-  El Tablón-  El Tambo-  Guanacas-  Guanaquitas-  La Arenera-  La Camelia-  La Candelaria-  La Granja-  La Vega-  Mina Vieja-  Pacora-
zip_co_05_2410,5154,52410,urban,052410 - Sin Informacion de Veredas
zip_co_05_2417,5154,52417,rural,052417 - Bella Sola- Cacerí-  Caño Pescado-  Hoya Grande-  La Concepción-  Rio Man-  Santa Lucia-  Zona Adjunta A La Cabecera-  Aqui Si
zip_co_05_2418,5154,52418,rural,052418 - Aqui Si- Bocas del Maestro Esteban-  El Cincuenta-  La Arenosa-  Las Parcelas-  Maestro Esteban Central-  Quebrada Cienaga-  Quinientos Cinco-  Tosnovan Uno-  Vijagual Medio
zip_co_05_7410,5172,57410,urban,057410 - Sin Informacion de Veredas
zip_co_05_7417,5172,57417,rural,057417 - Chigorodocito- El Congo-  El Plátano-  Jurado Arriba-  Jurado Arriba-  Remigio-  San José de León-  Serranía de Abibe
zip_co_05_7418,5172,57418,rural,057418 - Barranquillita- Bocas de Guapa-  Cabecera Municipal-  Champitas-  El Dos-  El Guineo-  El Tigre-  El Venado-  Guaguas-  Guapa-  Guapa Arriba-  Jurado-  Jurado-  La Fé-  La Fortuna-  La India-  La Lucita-  La Maporita-  La Rivera-  Las Mercedes-  Malagón-
zip_co_05_3050,5190,53050,urban,053050 - Sin Informacion de Veredas
zip_co_05_3057,5190,53057,rural,053057 - Bajo Cantayus- Bella Fatima-  Bellavista-  Bengala-  Campo Alegre-  Cruces-  El Bazal-  El Brasil-  El Brasil-  El Cadillo-  El Dos-  El Limon-  El Limon-  El Silencio-  Estación Sofia-  Guadualejo-  La Delgadita-  La Josefina-  La Palma-  Palmira-  Saban
zip_co_05_4440,5197,54440,urban,054440 - Sin Informacion de Veredas
